Index,P,Vref,D1,D2,D0,Validity,ipk,irms,Vo,Ptotal,nZVS
237,100,170,1.075,1,0.051571225,1,5.163834978,1.347344254,170.0919836,2.307873432,4
238,100,170,0.9,1,-0.035318862,1,5.084556076,1.314510061,170.0837965,2.0320622590000004,4
239,100,170,1.1,1,0.064745464,1,5.091920618,1.316432924,170.0547939,2.037077522,4
240,100,170,0.875,1,-0.047205621,1,5.003031626,1.276340459,170.0931415,1.7526925169999998,4
241,100,170,1.125,1,0.077496043,1,4.9694954,1.267530733,170.2445282,1.727010656,4
242,100,170,0.85,1,-0.057831749,1,4.920576581,1.235836779,170.139297,1.4857868129999998,8
243,100,170,1.15,1,0.092043592,1,4.941790345,1.241463201,170.0387355,1.4965355789999997,8
244,100,170,0.825,1,-0.064543666,1,4.851291886,1.200375799,170.0885794,1.522238099,8
245,100,170,1.175,1,0.110860718,1,4.890578808,1.210503452,169.930326,1.5394635250000004,8
246,100,170,0.8,1,-0.076140175,1,4.788416395,1.171228251,170.0474522,1.566033689,8
247,100,170,1.2,1,0.124131277,1,4.813934658,1.177658184,169.9460686,1.574210075,8
248,100,170,0.775,1,-0.087773748,1,4.71853619,1.149078303,170.0450106,1.612500851,8
249,100,170,1.225,1,0.137473995,1,4.740941679,1.154512105,169.9571462,1.618827954,8
250,100,170,0.75,1,-0.099374321,1,4.648502948,1.139844046,170.0540005,1.667535197,8
251,100,170,1.25,1,0.149930354,1,4.679076741,1.491606447,169.9511168,1.910705462,8
252,100,170,0.725,1,-0.110852793,1,4.585790688,1.149066194,170.046355,1.737331203,8
253,100,170,1.275,1,0.163515999,1,4.616084936,1.449550605,169.9521946,1.939328696,8
254,100,170,0.7,1,-0.123204632,1,4.523165908,1.422480774,170.0674971,1.975344607,8
255,100,170,1.3,1,0.177202198,1,4.555257224,1.425409312,169.9508728,1.984774159,8
256,100,170,0.675,1,-0.134393795,1,5.254655118,1.421999433,170.0494576,2.26803542,8
257,100,170,1.325,1,0.190933001,1,5.239710875,1.424155008,169.9633223,2.2628948919999994,8
258,100,170,0.65,1,-0.145534531,1,6.0067054,1.448257905,170.0447417,2.6486150740000003,8
259,100,170,1.35,1,0.204795383,1,5.997737095,1.449219677,169.9695962,2.642409084,8
260,100,170,0.625,1,-0.156545267,1,6.760529348,1.502147148,170.0367624,3.1222655040000005,8
261,100,170,1.375,1,0.218850172,1,6.749537005,1.503189381,169.9611784,3.1159195690000003,8
262,100,170,0.6,1,-0.167428272,1,7.514440311,1.584138729,170.0282959,3.688616157,8
263,100,170,1.4,1,0.23285982,1,7.508996268,1.584803317,169.9904597,3.683304498,8
264,100,170,0.575,1,-0.178165326,1,8.268252556,1.693020717,170.0179454,4.343753264,8
265,100,170,1.425,1,0.247098283,1,8.269953481,1.694083214,170.0196062,4.346566548,8
266,100,170,0.55,1,-0.188736309,1,9.022403267,1.826783218,170.0036938,5.115073656,8
267,100,170,1.45,1,0.261415016,1,9.035411907,1.828927589,170.088013,5.127366147,8
268,100,170,0.525,1,-0.199155998,1,9.775208804,1.982641677,169.9859317,5.984588114,8
269,100,170,1.475,1,0.275758707,1,9.808092048,1.987154804,170.2041757,6.022553419,8
270,100,170,0.5,1,-0.209223568,1,10.59567866,2.159019572,169.9518778,7.070252991,8
271,100,170,1.5,1,0.290580384,1,10.53985796,2.160377413,170.0470922,7.011301742999999,8
272,100,170,0.475,1,-0.214949206,1,11.46939194,2.407286243,169.9533506,8.510099960000002,6
273,100,170,1.525,1,0.340862831,0,12.94645309,6.218970349,136.3358413,22.463506185000004,4
274,100,170,0.45,1,-0.224394039,1,12.22542995,2.622785419,169.9450293,9.945984028,6
275,100,170,1.55,1,0.341329111,0,13.20326094,6.43453684,136.2893887,23.856087089,4
276,100,170,0.425,1,-0.233259034,1,12.9321033,2.828139214,169.7238486,11.444251605,6
277,100,170,1.575,1,0.34175911,0,13.81793685,6.67027263,136.2465504,26.018025177,4
278,100,170,0.4,1,-0.241981497,1,13.66425517,3.051867421,169.6054382,13.155971054000002,6
279,100,170,1.6,1,0.342152731,0,14.92896461,6.923817597,136.2073362,29.379464634,4
280,100,170,0.375,1,-0.249990848,1,14.40345032,3.287117365,169.5332533,15.072608646,6
281,100,170,1.625,1,0.342509873,0,16.04176361,7.192994551,136.171756,33.120232926,4
282,100,170,0.35,1,-0.259016311,1,15.22041775,3.543197443,169.9865943,17.364880390000003,6
283,100,170,1.65,1,0.342830438,0,17.1563339,7.475826869,136.1398198,37.296447413,4
284,100,170,0.325,1,-0.265947709,1,15.9720508,3.797825644,169.9984618,19.719340056,6
285,100,170,1.675,1,0.343114327,0,18.27267551,7.770540953,136.1115374,41.939924956,4
286,100,170,0.3,1,-0.272281324,1,16.72912003,4.060712823,170.0477488,22.305508659,6
287,100,170,1.7,1,0.343361439,0,19.39078847,8.075558646,136.0869189,47.080533063,4
288,100,170,0.275,1,-0.276887027,1,17.48274513,4.333053614,170.0724424,25.145352814,6
289,100,170,1.725,1,0.343571675,0,20.51067281,8.389483671,136.0659741,52.721513127,4
290,100,170,0.25,1,-0.2803675,1,18.24304989,4.613913939,170.1430135,28.247368398,6
291,100,170,1.75,1,0.343744934,0,21.63232856,8.711085042,136.048713,58.866600308,4
292,100,170,0.225,1,-0.283129583,1,19.00656761,4.89982529,170.2373018,31.603061719000003,6
293,100,170,1.775,1,0.343881117,0,22.75575572,9.039279499,136.0351457,65.538947669,4
