Index,P,Vref,D1,D2,D0,Validity,ipk,irms,Vo,Ptotal,nZVS
7241,600,182,1.05,1,0.151805881,1,9.330224959,3.534372822,181.911129,8.327016269,8
7242,800,210,1.22098,1,0.284017473,1,11.94284212,4.761305864,209.8970814,15.660330322000002,6
7243,1000,230,0.81368,1,0.103409375,1,16.3853119,5.835689547,230.0752844,27.69615132,6
7244,500,210,0.825,1,0.013373092,1,7.52835525,2.895347442,210.0662467,6.468823257,6
7245,500,198,1.45995,1,0.39435977,1,13.82639776,4.420505972,197.9516871,18.312450541,6
7246,100,174,0.725,1,-0.112082234,1,4.355577808,1.285049504,174.0544306,1.783544904,8
7247,900,242,0.8,1,0.066155619,1,16.3269063,5.356145331,242.0896852,26.490605662000004,6
7248,700,170,0.63061,1,0.042011594,1,14.04866601,5.03554919,170.0850857,19.773291391,6
7249,300,238,1.15,1,0.132149137,1,10.27243721,2.562201428,238.2038238,8.794390003,4
7250,100,218,0.47748,1,-0.221459429,1,18.60153744,4.133345502,217.9729317,28.012267101,4
7251,700,190,1.1,1,0.197689933,1,9.58541168,4.048637142,189.92796,10.016684736,8
7252,100,214,1.05,1,0.048230204,1,3.618273509,0.926767791,214.0774207,1.672560672,4
7253,600,166,0.64226,1,0.014909415,1,12.59374119,4.312786075,166.0529662,14.953148622,6
7254,600,190,0.7,1,0.005934177,1,9.573275786,3.905949875,190.0990348,10.748647859999998,6
7255,600,174,1.2,1,0.249116097,1,10.66102819,3.775033299,173.8706549,9.878542863,6
7256,900,198,0.55,1,0.068619955,1,17.41836456,6.891408838,198.0523157,35.392639129,6
7257,200,182,0.55,1,-0.152991996,1,11.05769218,2.504081632,182.0286521,8.551959279999998,6
7258,100,238,1.4,1,0.23362561,1,17.68203397,3.785094769,237.9918151,24.953557317,4
7259,700,218,1.62698,1,0.618183603,1,21.89250101,7.667556106,218.0858771,55.81553073699999,6
7260,100,198,1.075,1,0.058757637,1,2.183415971,0.550577227,198.0841981,0.683122176,6
7261,600,162,1.25,1,0.295925947,1,12.30049573,4.092863408,161.8946947,12.762553401999998,6
7262,1000,234,0.875,1,0.122437181,1,16.26213159,5.669753881,234.0774607,26.315177339,6
7263,300,186,0.81913,1,-0.021328955,1,5.294465971,1.817665085,186.0797942,2.729510068,6
7264,700,206,1.625,1,0.632108727,1,20.10183692,7.435777863,206.0542202,47.588403381,6
7265,800,166,1.06961,1,0.238622254,1,14.68604899,5.334087753,165.9335367,21.58288548900001,8
7266,500,206,1.25,1,0.238247619,1,8.722094734,3.175971419,205.9347782,8.164745344,6
7267,400,234,1.6,1,0.455597728,1,23.39679464,6.304894681,234.0848821,55.51443999,6
7268,500,206,1.361,1,0.313898835,1,12.04925667,3.810091022,205.9245855,13.612256571999998,6
7269,100,226,1.15,1,0.100199094,1,8.383842517,1.827893268,226.0767639,5.458877369,4
7270,400,202,0.9,1,0.027631954,1,4.913865632,2.152018105,202.095108,3.114554052,6
7271,300,194,1.15,1,0.139500815,1,4.249554187,1.723862909,193.9391378,2.4675923600000003,6
7272,300,230,1.025,1,0.065596467,1,7.389094698,2.047093945,230.1303568,4.58879091,4
7273,600,222,1.3,1,0.285447003,1,12.63398736,4.154340812,221.9130546,15.646565419,6
7274,800,162,1.175,1,0.309777723,1,15.32462505,5.511104944,161.9366938,23.46132337,8
7275,600,174,1.4,1,0.398835214,1,12.37617929,4.461797951,173.9214495,15.69535097,6
7276,400,210,0.65,1,-0.071417115,1,12.30888886,3.314322807,210.0506676,12.52088315,6
7277,800,162,1.02967,1,0.223582375,1,15.45228684,5.470381815,161.9444259,23.627570903,8
7278,300,190,1.3185,1,0.241372483,1,8.328899792,2.301153797,189.9462453,5.7472448080000005,6
7279,300,166,0.7,1,-0.060259894,1,7.765700984,2.232947577,166.0643966,4.414992318,6
7280,1000,230,1.05,1,0.204381786,1,15.5395586,5.557763413,230.0861698,24.296701166,8
7281,200,190,1.23921,1,0.16966127,1,5.921016034,1.447022251,189.9520495,2.790746618,6
7282,800,198,1.15,1,0.245316954,1,10.16284546,4.652509272,197.9316655,12.355921228,8
7283,800,178,1.45,1,0.513924879,1,16.87729042,6.253513645,177.967825,30.862385853000003,6
7284,300,230,1.7846,1,0.625502838,1,28.24439745,8.093265923,229.6606237,91.432946981,6
7285,900,198,0.76228,1,0.098379305,1,12.80094386,5.62963174,198.102567,19.206374242,6
7286,900,242,1.61889,1,0.657637709,1,27.22473152,9.207650774,242.0017376,92.121646272,6
7287,600,190,1.4151,1,0.395471742,1,11.31314601,4.577063371,189.915456,14.881819750999998,6
7288,100,202,0.69987,1,-0.122417956,1,9.533049516,1.655139406,202.0732201,5.592654976,6
7289,100,170,0.575,1,-0.178165326,1,8.268252556,1.693020717,170.0179454,4.343753264,8
7290,1000,162,0.91923,1,0.256569587,1,19.41339421,7.300933763,161.9203296,42.143028036,8
7291,300,202,0.3881,1,-0.1664596,1,18.88661548,4.973176218,201.6966721,32.40906147700001,6
7292,800,230,0.55,1,-0.00374752,1,18.40670413,6.44816283,230.0824468,37.412690139000006,6
7293,400,190,1.09109,1,0.124977185,1,5.745712857,2.221049227,189.9038342,3.007776349,6
7294,1000,198,1.51439,1,0.659070303,1,23.92680238,8.740097804,198.0159592,69.010179412,6
7295,200,182,1.025,1,0.044017809,1,4.628446496,1.311196101,182.0590495,1.58626524,4
7296,100,162,0.725,1,-0.109866755,1,5.445299976,1.314726379,162.0734102,2.064515295,8
7297,100,190,0.78981,1,-0.079633646,1,5.035601016,0.891133964,190.0591897,1.6651787299999998,6
7298,600,166,0.725,1,0.035891807,1,11.95234455,4.143454634,166.0864528,12.786756508,6
7299,800,182,0.625,1,0.059602871,1,14.79911844,5.681736182,182.050594,23.654625682,6
7300,200,178,0.45,1,-0.184281483,1,13.44010219,3.205968023,177.9042229,13.488091132,6
7301,700,198,1.44602,1,0.445269445,1,13.46509875,5.473414323,197.9370623,21.31758123,6
7302,900,230,0.75097,1,0.060094368,1,15.64526111,5.500491755,230.0865607,25.50655836,6
7303,800,162,1.125,1,0.277876669,1,15.26294942,5.480727721,161.9371913,23.285985095,8
7304,800,202,0.9,1,0.111243599,1,10.23197261,4.532236387,202.1003423,12.201328723,8
7305,200,182,1.2,1,0.149390586,1,4.619962864,1.362532872,181.9094559,1.816379485,6
7306,700,182,0.95,1,0.127219344,1,10.66923877,4.178597856,182.1101896,11.665030399,8
7307,1000,222,0.825,1,0.116434465,1,15.60440314,5.867262707,222.1015365,25.557267886,6
7308,1000,190,1.41672,1,0.547829175,1,19.83313563,7.673459212,190.1712847,45.71092438000001,6
7309,300,174,0.375,1,-0.148140601,1,15.10785015,4.28522464,173.7849274,20.006243185,6
7310,500,214,0.875,1,0.031619956,1,7.725261143,2.779598924,214.1012677,6.070151511000001,6
7311,400,182,0.39296,1,-0.105345584,1,15.81100259,4.883506038,181.8768182,23.775578219,6
7312,100,218,0.975,1,0.009619606,1,3.711664172,0.933946469,218.117075,1.859876415,4
7313,700,202,0.95,1,0.109811909,1,8.614807563,3.861740918,202.0854561,8.8202771,8
7314,400,166,0.97363,1,0.074495833,1,9.204115327,2.741827997,166.0518766,6.259210102,8
7315,500,182,0.85,1,0.038786739,1,8.138242673,2.955409367,182.0505774,5.64042321,6
7316,1000,230,1.1,1,0.232595852,1,15.71205845,5.613649505,229.9523471,24.711780067,8
7317,800,238,1.49702,1,0.484124455,1,20.99021567,7.071541206,237.9898022,49.300647737,6
7318,300,218,1.46071,1,0.323335463,1,16.79139646,4.023749166,218.0143137,23.221141497,6
7319,600,166,1.275,1,0.311172698,1,11.97761683,4.145452663,165.9242633,12.819127605,6
7320,200,226,0.575,1,-0.154916609,1,16.92617892,3.73321241,226.0693022,22.581472566,4
7321,900,222,0.675,1,0.04840423,1,16.0315718,5.905257485,222.0847406,28.025557184,6
7322,100,206,1.48697,1,0.28180611,1,15.74665443,3.323992434,206.1409256,18.22800482,6
7323,900,214,1.275,1,0.343820397,1,14.53539111,5.617442601,213.9153547,23.178847205,6
7324,100,170,1.475,1,0.275758707,1,9.808092048,1.987154804,170.2041757,6.022553419,8
7325,100,238,1.175,1,0.111814742,1,10.99434346,2.156494619,238.1010077,9.097778386999998,4
7326,1000,182,1.42322,1,0.584809946,1,21.51800288,8.10353843,182.1076692,53.745763398,6
7327,800,234,0.725,1,0.027280486,1,15.03039826,5.136814536,234.1058175,23.238083115,6
7328,700,222,1.5,1,0.471999462,1,18.66759468,6.286228935,221.9854096,37.342999397,6
7329,200,218,0.45,1,-0.197533871,1,19.41973061,4.578424977,217.8583468,32.367148646000004,6
7330,100,242,1.55,1,0.317266274,1,22.85754921,5.31055526,242.2915901,48.043645722,4
7331,400,182,1.2,1,0.195673083,1,7.094360895,2.455561583,181.9263712,4.512317445000001,6
7332,600,194,0.65013,1,-0.009932534,1,9.975850446,4.175737629,194.0507145,12.107789527,6
7333,700,186,1.17391,1,0.246040966,1,10.42965369,4.189504517,185.9096571,11.071316838,6
7334,1000,194,1.175,1,0.324962427,1,14.31400504,6.235505892,193.9152268,24.119641154000004,8
7335,600,190,0.95,1,0.095489416,1,8.112498326,3.385132343,190.1013401,7.001757614000001,8
7336,1000,170,1.19085,1,0.387569483,1,18.31595254,7.067593564,169.9217796,37.571270933,8
7337,700,186,1.4,1,0.417436122,1,13.01781696,5.093891414,185.9347902,18.878839338,6
7338,500,190,0.63735,1,-0.037749509,1,9.734227612,3.641728323,190.0667743,10.175914451,6
7339,100,234,0.925,1,-0.01517574,1,7.395105251,1.635890898,234.1021809,5.111626157,4
7340,300,186,0.69739,1,-0.069946033,1,7.272411584,2.184824662,186.0629923,4.684940323999999,6
7341,800,190,0.525,1,0.043364507,1,16.40611724,6.368559684,190.0456307,30.594841177,6
7342,300,174,0.36788,1,-0.147780106,1,15.32675894,4.365106127,173.8179876,20.751254835000005,6
7343,500,162,0.89488,1,0.066805924,1,10.76906639,3.386994285,162.0833879,9.08718651,8
7344,400,214,1.62579,1,0.492706381,1,21.18766922,5.947278023,214.1365776,44.520067215,6
7345,500,202,1.05,1,0.116570729,1,5.985375366,2.663022731,202.2378981,4.086906221,8
7346,600,178,0.45703,1,-0.014418915,1,14.87125897,5.524482823,178.0233052,24.006504583,6
7347,800,190,0.6,1,0.045030455,1,14.47156083,5.771067241,190.0853114,23.759238131000004,6
7348,700,186,1.0,1,0.147697889,1,10.13890933,4.100409846,185.9331269,10.944104248,8
7349,300,194,0.6,1,-0.108495489,1,11.38795467,2.861447408,194.0532005,9.939597924,6
7350,200,218,1.525,1,0.335433021,1,18.72367257,4.342805979,218.2214903,29.389406892,6
7351,700,222,0.675,1,0.000354143,1,13.43663328,4.807862761,222.0600786,19.206550601,6
7352,300,222,0.75,1,-0.060126406,1,11.0827494,2.550376178,222.0929725,9.253850502000002,6
7353,1000,190,0.90458,1,0.185928787,1,14.40045742,6.220779783,190.0802127,24.488573326,8
7354,300,242,1.44034,1,0.302550195,1,19.77116066,4.667668683,242.0075689,34.291331311,6
7355,700,234,0.725,1,0.006691357,1,13.76737229,4.65497548,234.0846739,19.25334104,6
7356,200,174,0.625,1,-0.121958309,1,7.612272384,1.897501823,174.034195,4.235036249,6
7357,300,210,0.95,1,0.029340447,1,4.682959972,1.604316342,210.0875892,2.269265863,6
7358,600,178,0.725,1,0.022941261,1,10.61313593,3.879530836,178.0944134,10.959667549000002,6
7359,400,202,0.54553,1,-0.09881315,1,14.24355465,3.930045381,202.0273393,17.454669305,6
7360,800,186,1.19536,1,0.287592216,1,12.08893637,4.918720356,185.9389025,15.468171447999998,8
7361,600,218,1.55,1,0.491768195,1,19.55834541,6.20528055,218.0834513,39.827115899,6
